Name,Lat,Lon,Category
Lindfield East Public School,-33.767479,151.18429,School
Manly West Public School,-33.791875,151.268753,School
Middle Dural Public School,-33.64496,151.023178,School
Middle Harbour Public School,-33.82282,151.2327,School
Mona Vale Public School,-33.676998,151.300404,School
Narrabeen Lakes Public School,-33.720323,151.297413,School
Neutral Bay Public School,-33.83261,151.219605,School
Newport Public School,-33.660561,151.312237,School
Normanhurst Public School,-33.723332,151.098026,School
Northbridge Public School,-33.813034,151.218597,School
North Rocks Public School,-33.768425,151.025148,School
North Sydney Public School,-33.834819,151.203685,School
Pennant Hills Public School,-33.7358,151.068058,School
West Pennant Hills Public School,-33.746075,151.050491,School
Putney Public School,-33.824562,151.110973,School
Roseville Public School,-33.781883,151.188666,School
Ryde Public School,-33.812552,151.108015,School
North Ryde Public School,-33.794766,151.120042,School
West Ryde Public School,-33.808363,151.085097,School
Terrey Hills Public School,-33.685723,151.222619,School
Turramurra North Public School,-33.714724,151.147816,School
Waitara Public School,-33.708119,151.111586,School
Warrawee Public School,-33.729484,151.121236,School
Willoughby Public School,-33.802197,151.200123,School
Annangrove Public School,-33.667417,150.95255,School
Balgowlah Heights Public School,-33.805985,151.258754,School
Belrose Public School,-33.727235,151.216645,School
Pymble Public School,-33.732269,151.141089,School
Avalon Public School,-33.639377,151.326739,School
Narraweena Public School,-33.7492,151.273639,School
Wahroonga Public School,-33.715583,151.128476,School
Melrose Park Public School,-33.814849,151.071939,School
Turramurra Public School,-33.745258,151.114305,School
Denistone East Public School,-33.7943,151.096571,School
Meadowbank Public School,-33.8129,151.0921,School
Mount Colah Public School,-33.672947,151.115695,School
Narrabeen North Public School,-33.699095,151.298134,School
Lane Cove West Public School,-33.809886,151.152003,School
Killara Public School,-33.765473,151.148436,School
Castle Cove Public School,-33.783375,151.201973,School
Curl Curl North Public School,-33.764639,151.289314,School
Gordon West Public School,-33.760318,151.139223,School
Manly Village Public School,-33.7994,151.287627,School
Beaumont Road Public School,-33.774289,151.146271,School
Collaroy Plateau Public School,-33.73297,151.29344,School
Beacon Hill Public School,-33.75163,151.260584,School
Balgowlah North Public School,-33.783267,151.246457,School
Gordon East Public School,-33.74582,151.156203,School
Mowbray Public School,-33.803943,151.155895,School
Forestville Public School,-33.761582,151.212803,School
Manly Vale Public School,-33.783497,151.25976,School
Epping Heights Public School,-33.762695,151.07408,School
Eastwood Heights Public School,-33.781914,151.095463,School
Mount Kuring-gai Public School,-33.657474,151.135604,School
Kent Road Public School,-33.787415,151.108936,School
Truscott Street Public School,-33.794097,151.130918,School
Epping North Public School,-33.757643,151.095425,School
Elanora Heights Public School,-33.703672,151.284751,School
Allambie Heights Public School,-33.76615,151.249208,School
Cromer Public School,-33.738009,151.274661,School
Wheeler Heights Public School,-33.72779,151.284764,School
Ryde East Public School,-33.807139,151.125864,School
Hornsby Heights Public School,-33.670114,151.097989,School
Normanhurst West Public School,-33.721061,151.088436,School
Thornleigh West Public School,-33.723864,151.072163,School
West Pymble Public School,-33.763937,151.124401,School
St Ives North Public School,-33.718672,151.163635,School
Roselea Public School,-33.765259,151.05252,School
St Ives Public School,-33.738199,151.1665,School
Bilgola Plateau Public School,-33.644021,151.313406,School
Hornsby North Public School,-33.682646,151.098865,School
Wakehurst Public School,-33.738527,151.218101,School
Baulkham Hills North Public School,-33.751927,150.999957,School
Killarney Heights Public School,-33.774942,151.216151,School
St Ives Park Public School,-33.724082,151.178775,School
Murray Farm Public School,-33.766119,151.040173,School
Mimosa Public School,-33.743343,151.205909,School
Wideview Public School,-33.608499,151.14151,School
Cherrybrook Public School,-33.731277,151.042056,School
John Purchase Public School,-33.718798,151.038895,School
Samuel Gilbert Public School,-33.713106,150.992027,School
Oakhill Drive Public School,-33.721563,151.022997,School
Hornsby South Public School,-33.713499,151.095148,School
Beauty Point Public School,-33.812008,151.241883,School
Fisher Road School,-33.746131,151.287466,School
Cromehurst School,-33.773952,151.172207,School
Naremburn School,-33.819372,151.200343,School
The Beach School,-33.772011,151.262488,School
Clarke Road School,-33.712072,151.095647,School
Arranounbai School,-33.756784,151.241291,School
Karonga School,-33.770806,151.06064,School
Sir Eric Woodward Memorial School,-33.719579,151.179755,School
Chatswood Public School,-33.798242,151.17759,School
Eastwood Public School,-33.792743,151.078474,School
Mosman Public School,-33.828052,151.241198,School
Hornsby Girls High School,-33.706627,151.101083,School
North Sydney Boys High School,-33.829336,151.207734,School
North Sydney Girls High School,-33.830244,151.203447,School
Willoughby Girls High School,-33.803128,151.199957,School
Hunters Hill High School,-33.832696,151.148509,School
Cheltenham Girls High School,-33.75627,151.074096,School
Normanhurst Boys High School,-33.721475,151.101466,School
Asquith High School,-33.689716,151.11275,School
Marsden High School,-33.812981,151.092237,School
Chatswood High School,-33.800013,151.175324,School
Riverside Girls High School,-33.840079,151.141467,School
Hornsby High School,-33.692276,151.103016,School
Mosman High School,-33.829677,151.243425,School
The Forest High School,-33.75651,151.24444,School
Pittwater High School,-33.668259,151.302664,School
Castle Hill High School,-33.726635,150.999534,School
St Ives High School,-33.740147,151.167078,School
Ryde Secondary College,-33.813316,151.119176,School
Ku-ring-gai High School,-33.690973,151.153809,School
Killarney Heights High School,-33.771925,151.215215,School
Turramurra High School,-33.757307,151.114786,School
Pennant Hills High School,-33.733692,151.061087,School
Carlingford High School,-33.765412,151.050764,School
Barrenjoey High School,-33.63117,151.333926,School
Killara High School,-33.756575,151.174102,School
Davidson High School,-33.74468,151.205465,School
Galston High School,-33.660931,151.042348,School
Muirfield High School,-33.764695,151.022294,School
Northern Beaches Secondary College Cromer Campus,-33.737765,151.284453,School
Narrabeen Sports High School,-33.700941,151.298401,School
Northern Beaches Secondary College Manly Campus,-33.762388,151.281355,School
Cherrybrook Technology High School,-33.719852,151.037583,School
Northern Beaches Secondary College Mackellar Girls Campus,-33.782109,151.272401,School
Northern Beaches Secondary College Balgowlah Boys Campus,-33.796405,151.254607,School
Epping Boys High School,-33.769453,151.099645,School
Appin Public School,-34.198417,150.78766,School
Auburn North Public School,-33.841669,151.038618,School
Auburn West Public School,-33.860931,151.019764,School
Austral Public School,-33.934487,150.812638,School
Greenacre Public School,-33.911161,151.057581,School
Bankstown North Public School,-33.904888,151.038043,School
Bargo Public School,-34.292889,150.58274,School
Bass Hill Public School,-33.905902,151.005779,School
Belmore North Public School,-33.909885,151.084885,School
Belmore South Public School,-33.925735,151.091985,School
Berala Public School,-33.869714,151.028244,School
Blaxcell Street Public School,-33.858068,151.006125,School
Bossley Park Public School,-33.858524,150.883076,School
Bringelly Public School,-33.93791,150.730266,School
Burwood Public School,-33.8768,151.098987,School
Buxton Public School,-34.246971,150.544826,School
Cabramatta Public School,-33.895823,150.942629,School
Camden Public School,-34.051998,150.693236,School
Campbelltown Public School,-34.070109,150.815634,School
Campsie Public School,-33.911863,151.104846,School
Canley Vale Public School,-33.88676,150.937632,School
Cawdor Public School,-34.109711,150.673727,School
Chipping Norton Public School,-33.909108,150.96085,School
Cobbitty Public School,-34.0159,150.685938,School
Concord Public School,-33.863224,151.106944,School
Concord West Public School,-33.839613,151.087317,School
Douglas Park Public School,-34.179484,150.713038,School
Panania Public School,-33.965972,150.99946,School
Enfield Public School,-33.888598,151.094528,School
Fairfield Public School,-33.866847,150.955409,School
Fairfield West Public School,-33.868037,150.924762,School
Glenfield Public School,-33.971005,150.896584,School
Granville Public School,-33.834264,151.004671,School
Granville South Public School,-33.848289,150.995883,School
Green Valley Public School,-33.90074,150.868972,School
Guildford Public School,-33.855821,150.981983,School
Hammondville Public School,-33.947273,150.954525,School
